"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"NEW"	"2018"	"3.37010489469017"	"2.96906148090334"	"3.54801904507439"	"3.10719881089173"	"3.12195860678788"	"2.84262902610825"	"2.72050514553931"	"2.5561543230855"	"3.87557176710045"	"3.39279126018232"	"3.42989164715105"	"3.26804750270311"
"HWP"	"2018"	"2.01984813976678"	"2.06306339589587"	"2.58054621158774"	"2.38230428006723"	"2.27177973889417"	"1.88128160876644"	"1.61676999559508"	"1.72043381780675"	"2.60294049764711"	"2.09987288694935"	"2.93712713293251"	"2.63377189662394"
"INS"	"2018"	"2.66043694770044"	"2.73816186377486"	"3.25417101152272"	"3.21490640757919"	"2.75304560071055"	"2.28987236388662"	"2.06612980909621"	"2.27722231707287"	"3.4463704640746"	"2.91695213685317"	"3.82490339963052"	"3.47694964418587"
"FSH"	"2018"	"2.31650325161796"	"2.41208981739186"	"2.8052915489456"	"2.9198955212811"	"2.42119704085392"	"1.96620538686562"	"1.60207244924492"	"1.99964564414641"	"2.88935609012498"	"2.47369498473905"	"3.48256979476685"	"3.24185989880473"
"RTH"	"2018"	"2.1314698031746"	"1.99457248567174"	"2.19734297232246"	"2.41674928765097"	"1.99077301232814"	"1.75831178153391"	"1.29856310095571"	"1.69094968732671"	"2.33077484201371"	"2.13814782670497"	"2.4991651145714"	"2.57306928304323"
"AVI"	"2018"	"3.09449145507537"	"3.1807702345049"	"3.09308253258566"	"3.15151541924265"	"2.89557761016887"	"2.28199311002011"	"2.3329508617765"	"2.62237271610207"	"2.95387853458196"	"3.13463783929931"	"2.88190974133128"	"3.07319636805762"
"AVN"	"2018"	"2.68832752269168"	"2.70615257130521"	"2.84066839310156"	"2.7272569135579"	"2.6211253247516"	"2.16605285674936"	"2.09931690083573"	"2.22867021738974"	"2.61140754336105"	"2.65497672453468"	"2.56924608692748"	"2.64634479696433"
"CAR"	"2018"	"3.25410890467112"	"3.47766662376398"	"3.92212620256778"	"3.4002755333285"	"3.4228137647569"	"2.7871921591612"	"3.052570107921"	"2.91270577319471"	"3.58290572824443"	"3.2542582839985"	"3.43804288481422"	"3.27150524751914"
"SLS"	"2018"	"4.50181360407807"	"4.46311137320395"	"4.5273961295214"	"4.51344417983435"	"3.94240682522601"	"3.21362692915175"	"3.70863805813322"	"4.04131071889004"	"4.69154278487818"	"4.50428048494018"	"3.85965357343559"	"4.17720856919957"
"TOM"	"2018"	"3.19070279435262"	"3.12842610637152"	"3.40233387353411"	"3.42822418736145"	"2.96035047327361"	"2.55587070353685"	"2.85161306994261"	"2.96397910036001"	"3.55557888755758"	"3.29996661818091"	"3.30098670723664"	"3.31046587766597"
